img,psnr,ssim,lpips,enl,epi
"['../DataStore/WHU_512_small/NH49E001013.tif_11_19.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_11.png']",19.447652175989653,0.5550274912905823,0.10889764130115509,1.269283369026791,0.6570373242766299
"['../DataStore/WHU_512_small/NH49E001013.tif_11_19.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_11_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_11.png']",19.72558802983399,0.5433085893609971,0.10542718321084976,1.1398469306204346,0.6492670261309458
"['../DataStore/WHU_512_small/NH49E001013.tif_12_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_15.png']",20.344642926996272,0.5253181254612997,0.09775350987911224,1.0722117354726932,0.6826340297690573
"['../DataStore/WHU_512_small/NH49E001013.tif_12_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_15.png']",19.55269909006759,0.5616302489229636,0.10932371765375137,1.2026661866810175,0.66847055696041
"['../DataStore/WHU_512_small/NH49E001013.tif_12_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_15.png']",20.08766474106633,0.5458680425229547,0.10434871166944504,1.1468676057622087,0.6608479668065127
"['../DataStore/WHU_512_small/NH49E001013.tif_12_12.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_2.png', '../DataStore/WHU_512_small/NH49E001013.tif_12_9.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_15.png']",20.618136412021283,0.504136925388707,0.11634790897369385,1.3283628565094436,0.6383915872861182
"['../DataStore/WHU_512_small/NH49E001013.tif_1_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_6.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_2_17.png']",20.644968137124575,0.5661646207486063,0.10860060900449753,0.9963413766021673,0.6985336015147249
"['../DataStore/WHU_512_small/NH49E001013.tif_1_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_6.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_2_17.png']",22.176133299347455,0.6254227902977347,0.08571650087833405,0.744133657958694,0.6885475669242797
"['../DataStore/WHU_512_small/NH49E001013.tif_1_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_6.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_2_17.png']",21.46531514624207,0.5068484404332031,0.1052938923239708,1.7800972471884131,0.6280565983141371
"['../DataStore/WHU_512_small/NH49E001013.tif_1_3.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_6.png', '../DataStore/WHU_512_small/NH49E001013.tif_1_7.png', '../DataStore/WHU_512_small/NH49E001013.tif_2_17.png']",20.00548570077349,0.48949239698311403,0.11934541165828705,1.4491747018608674,0.6499559029754013
